# wavelen objCounts skyAndBiasCounts pixnum
6.689584736148510274e+03 6.195000000000000000e+02 0.000000000000000000e+00 1.220000000000000000e+02
6.690143242622840262e+03 6.195000000000000000e+02 0.000000000000000000e+00 1.230000000000000000e+02
6.690701726330189558e+03 6.190000000000000000e+02 0.000000000000000000e+00 1.240000000000000000e+02
6.691260187234730438e+03 6.200000000000000000e+02 0.000000000000000000e+00 1.250000000000000000e+02
6.691818625300619715e+03 6.220000000000000000e+02 0.000000000000000000e+00 1.260000000000000000e+02
6.692377040492029664e+03 6.260000000000000000e+02 0.000000000000000000e+00 1.270000000000000000e+02
6.692935432773129833e+03 6.260000000000000000e+02 0.000000000000000000e+00 1.280000000000000000e+02
6.693493802108089767e+03 6.240000000000000000e+02 0.000000000000000000e+00 1.290000000000000000e+02
6.694052148461069919e+03 6.230000000000000000e+02 0.000000000000000000e+00 1.300000000000000000e+02
6.694610471796249840e+03 6.220000000000000000e+02 0.000000000000000000e+00 1.310000000000000000e+02
6.695168772077789981e+03 6.200000000000000000e+02 0.000000000000000000e+00 1.320000000000000000e+02
6.695727049269859890e+03 6.200000000000000000e+02 0.000000000000000000e+00 1.330000000000000000e+02
6.696285303336630022e+03 6.200000000000000000e+02 0.000000000000000000e+00 1.340000000000000000e+02
6.696843534242259921e+03 6.210000000000000000e+02 0.000000000000000000e+00 1.350000000000000000e+02
6.697401741950920041e+03 6.190000000000000000e+02 0.000000000000000000e+00 1.360000000000000000e+02
6.697959926426789934e+03 6.205000000000000000e+02 0.000000000000000000e+00 1.370000000000000000e+02
6.698518087634020048e+03 6.200000000000000000e+02 0.000000000000000000e+00 1.380000000000000000e+02
6.699076225536789934e+03 6.215000000000000000e+02 0.000000000000000000e+00 1.390000000000000000e+02
6.699634340099260044e+03 6.255000000000000000e+02 0.000000000000000000e+00 1.400000000000000000e+02
6.700192431285609928e+03 6.265000000000000000e+02 0.000000000000000000e+00 1.410000000000000000e+02
6.700750499060000038e+03 6.265000000000000000e+02 0.000000000000000000e+00 1.420000000000000000e+02
6.701308543386589918e+03 6.255000000000000000e+02 0.000000000000000000e+00 1.430000000000000000e+02
6.701866564229560026e+03 6.260000000000000000e+02 0.000000000000000000e+00 1.440000000000000000e+02
6.702424561553079911e+03 6.235000000000000000e+02 0.000000000000000000e+00 1.450000000000000000e+02
6.702982535321310024e+03 6.230000000000000000e+02 0.000000000000000000e+00 1.460000000000000000e+02
6.703540485498409907e+03 6.210000000000000000e+02 0.000000000000000000e+00 1.470000000000000000e+02
6.704098412048570026e+03 6.200000000000000000e+02 0.000000000000000000e+00 1.480000000000000000e+02
6.704656314935929913e+03 6.205000000000000000e+02 0.000000000000000000e+00 1.490000000000000000e+02
6.705214194124690039e+03 6.195000000000000000e+02 0.000000000000000000e+00 1.500000000000000000e+02
6.705772049578989936e+03 6.200000000000000000e+02 0.000000000000000000e+00 1.510000000000000000e+02
6.706329881263020070e+03 6.190000000000000000e+02 0.000000000000000000e+00 1.520000000000000000e+02
6.706887689140929979e+03 6.180000000000000000e+02 0.000000000000000000e+00 1.530000000000000000e+02
6.707445473176890118e+03 6.200000000000000000e+02 0.000000000000000000e+00 1.540000000000000000e+02
6.708003233335080040e+03 6.200000000000000000e+02 0.000000000000000000e+00 1.550000000000000000e+02
6.708560969579660195e+03 6.200000000000000000e+02 0.000000000000000000e+00 1.560000000000000000e+02
6.709118681874790127e+03 6.200000000000000000e+02 0.000000000000000000e+00 1.570000000000000000e+02
6.709676370184660300e+03 6.220000000000000000e+02 0.000000000000000000e+00 1.580000000000000000e+02
6.710234034473420252e+03 6.230000000000000000e+02 0.000000000000000000e+00 1.590000000000000000e+02
6.710791674705230434e+03 6.230000000000000000e+02 0.000000000000000000e+00 1.600000000000000000e+02
